,tSNE_x,tSNE_y,Location,Type,id
342,8.178917,-28.34794,Ireland,Residential,1347
343,33.162838,24.799103,Ireland,Residential,1348
344,-23.476028,-57.96457,Ireland,Residential,1349
345,0.23246378,45.267033,Ireland,Residential,1350
346,-15.45764,51.09517,Ireland,Residential,1351
347,48.960842,-42.53892,Ireland,Residential,1352
348,20.89461,-30.533316,Ireland,Residential,1353
349,-69.33696,-0.38253477,Ireland,Residential,1354
350,-25.415977,62.440372,Ireland,Residential,1355
351,18.704803,-54.05183,Ireland,Residential,1356
352,-37.266964,57.13539,Ireland,Residential,1357
353,-28.898027,65.47763,Ireland,Residential,1359
354,-31.023691,70.872734,Ireland,Residential,1360
355,-2.200688,-28.66825,Ireland,Residential,1361
356,7.6646695,-30.121881,Ireland,Residential,1362
357,-24.196478,-67.374344,Ireland,Residential,1363
358,-44.953873,-2.7528126,Ireland,Residential,1364
359,23.651068,-12.187369,Ireland,Residential,1365
360,31.59278,-33.684345,Ireland,Residential,1366
361,-58.843925,-14.871023,Ireland,Residential,1367
362,-37.67823,-51.581123,Ireland,Residential,1368
363,17.304096,-67.079605,Ireland,Residential,1369
364,39.492527,12.798331,Ireland,Residential,1370
365,-25.458935,70.734825,Ireland,Residential,1371
366,-23.827572,-58.40553,Ireland,Residential,1372
367,-41.856003,68.12781,Ireland,Residential,1373
368,-13.763043,54.571182,Ireland,Residential,1374
369,-13.149594,72.3038,Ireland,Residential,1375
370,-10.981445,2.2847018,Ireland,Residential,1376
371,4.190127,-10.787122,Ireland,Residential,1377
372,23.484283,-11.346423,Ireland,Residential,1378
373,-16.145658,-8.396895,Ireland,Residential,1379
374,-22.311792,7.406306,Ireland,Residential,1380
375,0.808566,-18.776415,Ireland,Residential,1381
376,-6.6942334,59.873287,Ireland,Residential,1382
377,5.8099174,45.583115,Ireland,Residential,1383
378,10.514026,-23.122835,Ireland,Residential,1384
379,-50.8019,-33.619934,Ireland,Residential,1385
380,49.24325,-40.85844,Ireland,Residential,1386
381,-32.950768,46.993244,Ireland,Residential,1387
382,5.7448707,-32.110775,Ireland,Residential,1388
383,-43.161884,67.55964,Ireland,Residential,1389
384,-17.58824,64.622574,Ireland,Residential,1390
385,42.55073,-2.1104362,Ireland,Residential,1391
386,-58.60945,14.666008,Ireland,Residential,1392
387,-21.213234,-62.892757,Ireland,Residential,1393
388,-39.7441,60.99447,Ireland,Residential,1394
389,4.084602,4.944618,Ireland,Residential,1395
390,-14.602727,-44.036484,Ireland,Residential,1397
391,15.711797,68.34269,Ireland,Residential,1398
392,-57.623676,-11.320596,Ireland,Residential,1399
393,41.288284,-48.11262,Ireland,Residential,1400
394,50.780094,-44.685783,Ireland,Residential,1401
395,-7.5544004,-18.209087,Ireland,Residential,1402
396,-2.6217635,-21.906933,Ireland,Residential,1403
397,-21.646885,-57.696743,Ireland,Residential,1404
398,-26.843864,-12.028707,Ireland,Residential,1405
399,-30.045351,48.859673,Ireland,Residential,1406
400,-34.21544,69.31362,Ireland,Residential,1407
401,-12.941028,-15.8410635,Ireland,Residential,1408
402,-19.589214,45.818306,Ireland,Residential,1409
403,-36.51546,5.9663515,Ireland,Residential,1410
404,48.67362,21.352854,Ireland,Residential,1411
405,7.853473,0.12769133,Ireland,Residential,1412
406,-6.1309004,-12.875341,Ireland,Residential,1413
407,42.3487,-48.792286,Ireland,Residential,1414
408,12.040309,-59.52367,Ireland,Residential,1415
409,-27.0168,62.057648,Ireland,Residential,1416
410,7.9634447,35.6738,Ireland,Residential,1417
411,8.28163,68.37888,Ireland,Residential,1418
412,52.34628,-47.467094,Ireland,Residential,1419
413,-40.381992,-44.241253,Ireland,Residential,1420
414,-26.243961,54.397057,Ireland,Residential,1421
415,-30.803864,-0.6056512,Ireland,Residential,1422
416,-25.919987,50.23079,Ireland,Residential,1423
417,26.736572,64.8373,Ireland,Residential,1424
418,24.106695,11.673613,Ireland,Residential,1425
419,-17.99563,49.302166,Ireland,Residential,1426
420,35.70971,18.61826,Ireland,Residential,1427
421,1.9243627,36.492672,Ireland,Residential,1428
422,-33.235844,-13.057402,Ireland,Residential,1429
423,-26.685024,45.329998,Ireland,Residential,1430
424,-12.871046,-5.893525,Ireland,Residential,1431
425,-17.716675,-26.191917,Ireland,Residential,1432
426,40.235703,-44.692642,Ireland,Residential,1433
427,2.5099123,1.8312967,Ireland,Residential,1434
428,-10.547696,-50.25854,Ireland,Residential,1435
429,-5.1367006,67.73497,Ireland,Residential,1436
430,1.7343624,33.188602,Ireland,Residential,1437
431,-54.867886,21.375261,Ireland,Residential,1438
432,43.923862,-39.567013,Ireland,Residential,1439
433,-40.26667,-5.813255,Ireland,Residential,1440
434,-46.11937,8.261043,Ireland,Residential,1441
435,-9.521526,52.18823,Ireland,Residential,1442
436,39.09307,-49.200813,Ireland,Residential,1443
437,0.6458592,-20.508324,Ireland,Residential,1444
438,-45.16306,-24.250961,Ireland,Residential,1445
439,-33.275463,25.070927,Ireland,Residential,1446
440,46.582573,-49.308144,Ireland,Residential,1447
441,-36.58905,-5.423937,Ireland,Residential,1448
442,-24.46933,77.84946,Ireland,Residential,1449
443,-10.005855,-58.12757,Ireland,Residential,1450
444,28.080843,-9.851074,Ireland,Residential,1451
445,-4.1290903,-13.355184,Ireland,Residential,1452
